Date,Description,Amount,Running Bal.
08/01/2026,DIRECT DEP EMPLOYER,2500.00,3500.00
08/03/2026,SPOTIFY USA,-11.99,3488.01
08/04/2026,WHOLE FOODS MKT 10234,-56.40,3431.61
08/07/2026,STARBUCKS STORE 0451,-6.75,3424.86
08/12/2026,CHEVRON 0094512,-45.00,3379.86
08/18/2026,TARGET 00012345,-102.33,3277.53
08/19/2026,TARGET 00012345,-102.33,3175.20
09/01/2026,DIRECT DEP EMPLOYER,2500.00,5675.20
09/03/2026,SPOTIFY USA,-11.99,5663.21
09/05/2026,WHOLE FOODS MKT 10234,-61.12,5602.09
09/14/2026,VERIZON WIRELESS,-65.00,5537.09
