Details,Posting Date,Description,Amount,Type,Balance
CREDIT,07/01/2026,PAYROLL ACME CORP,3200.00,ACH_CREDIT,4200.00
DEBIT,07/02/2026,NETFLIX.COM,-15.49,ACH_DEBIT,4184.51
DEBIT,07/05/2026,KROGER #512,-92.17,DEBIT_CARD,4092.34
DEBIT,07/09/2026,SHELL OIL 88213,-38.60,DEBIT_CARD,4053.74
DEBIT,07/15/2026,PLANET FITNESS,-24.99,ACH_DEBIT,4028.75
DEBIT,07/20/2026,AMAZON MKTPL*2K4,-64.35,DEBIT_CARD,3964.40
CREDIT,08/01/2026,PAYROLL ACME CORP,3200.00,ACH_CREDIT,7164.40
DEBIT,08/02/2026,NETFLIX.COM,-15.49,ACH_DEBIT,7148.91
DEBIT,08/06/2026,KROGER #512,-71.02,DEBIT_CARD,7077.89
DEBIT,08/11/2026,CHIPOTLE 1422,-13.85,DEBIT_CARD,7064.04
DEBIT,08/15/2026,PLANET FITNESS,-24.99,ACH_DEBIT,7039.05
DEBIT,08/22/2026,SHELL OIL 88213,-41.10,DEBIT_CARD,6997.95
CREDIT,09/01/2026,PAYROLL ACME CORP,3200.00,ACH_CREDIT,10197.95
DEBIT,09/02/2026,NETFLIX.COM,-15.49,ACH_DEBIT,10182.46
DEBIT,09/03/2026,KROGER #512,-84.20,DEBIT_CARD,10098.26
DEBIT,09/03/2026,KROGER #512,-84.20,DEBIT_CARD,10014.06
DEBIT,09/10/2026,COMCAST CABLE,-79.99,ACH_DEBIT,9934.07
DEBIT,09/15/2026,PLANET FITNESS,-24.99,ACH_DEBIT,9909.08
